"Suchbegriff";"Typ";"Etappe";"Name";"Adresse";"Ort";"Bewertung";"Reviews";"Kategorie";"Preis";"Dauer";"Kinderwagen";"Mindestalter";"Info";"Beste Zeit";"Reservierung";"Website";"Lat";"Lng";"Hinweis"
"cafe Roux, Noordhoek Farm Village, Chapman's Peak Drive, Noordhoek, Cape Town 7979, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"cafe Roux";"Noordhoek Farm Village, Chapman's Peak Drive";"Noordhoek, Cape Town 7979";"4.4";"2257";"Cafe / Bistro / Live-Musik";"€€";"";"";"";"Eigener Spielbereich unter Eichen, Kinder dürfen barfuss laufen";"";"Empfohlen";"https://caferoux.co.za/";"-34.09744";"18.37781";"Tipp aus eurem PDF"
"Cape Point Vineyards, Silvermine Road, Noordhoek, Cape Town 7985, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Cape Point Vineyards";"Silvermine Road";"Noordhoek, Cape Town 7985";"4.3";"";"Weingut / Picknick / Markt";"€€";"";"";"";"Picknickdecken am Teich mit Blick auf Noordhoek Beach";"";"Für Picknick ja";"https://www.capepointvineyards.co.za/";"-34.09381";"18.38756";"Donnerstags Community Market (Tipp aus eurem PDF)"
"Spice Route Destination, Suid-Agter-Paarl Road, Suider-Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Spice Route Destination";"Suid-Agter-Paarl Road";"Suider-Paarl 7646";"4.5";"6346";"Farm-to-Table / Tapas / Craft Beer";"€€";"";"";"";"Mehrere Spielplätze, Schnitzeljagd, Keramikmalen, Bike-Trail, Wickelraum";"";"Für Jewell's ja";"https://www.spiceroute.co.za/";"-33.764058";"18.919554";"Ganztagesziel; ca. 8 Min. von eurer Unterkunft"
"La Grapperia (Wilderer Distillery), Suid-Agter-Paarl Road, Spice Route Destination, Suider-Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"La Grapperia (Wilderer Distillery)";"Suid-Agter-Paarl Road, Spice Route Destination";"Suider-Paarl 7646";"4.4";"1925";"Holzofenpizza / Flammkuchen";"€–€€";"";"";"";"Spielplatz mit Zipline neben der Terrasse, Kinder-Tasting mit Pizza und Keksen";"";"Wochenende empfohlen";"https://www.spiceroute.co.za/la-grapperia-pizza-bistro/";"-33.764739";"18.920144";"Deutschsprachige Karte, Flammkuchen"
"The Goatshed at Fairview, Suid-Agter-Paarl Road, Fairview Wine & Cheese, Suider-Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"The Goatshed at Fairview";"Suid-Agter-Paarl Road, Fairview Wine & Cheese";"Suider-Paarl 7646";"4.4";"717";"Bistro / Käse / Burger";"€€";"";"";"";"Berühmter Ziegenturm mit Fütterung direkt vor der Tür";"";"Wochenende empfohlen";"https://www.fairview.co.za/";"-33.772184";"18.923814";"Käse- und Weinverkostung parallel"
"Nederburg Wines - The Manor, Sonstraal Road, Dal Josafat, Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Nederburg Wines - The Manor";"Sonstraal Road, Dal Josafat";"Paarl 7646";"4.6";"648";"Südafrikanisch / Picknick";"€€";"";"";"";"Grosser Spielplatz mit Zipline, Kinder-Picknickkörbe (R140), Keksdekorieren";"";"Ja, Picknick vorbuchen";"https://www.nederburg.com/";"-33.721022";"19.002309";"Dienstags geschlossen"
"Laborie Estate (Cucina di Giovanni / Stoep), Taillefer Street, Laborie Wine Estate, Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Laborie Estate (Cucina di Giovanni / Stoep)";"Taillefer Street, Laborie Wine Estate";"Paarl 7646";"4.5";"612";"Mediterran / Bistro";"€€";"";"";"";"Spielplatz im Blickfeld der Tische, Kinder-Picknickkorb R180, Wickelraum";"";"Ja";"https://laborieestate.co.za/";"-33.766044";"18.958110";"Drei Lokale an einem Ort, mitten in Paarl (auch in eurem PDF)"
"Knus Karoo Kombuis, Bovenland Farm, Pieter Hugo Road, Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Knus Karoo Kombuis";"Bovenland Farm, Pieter Hugo Road";"Paarl 7646";"4.6";"867";"Traditionell südafrikanisch / Karoo";"€";"";"";"";"Schattiger Garten mit Rutschen, Schaukeln, Pumptrack und Skills-Area";"";"Wochenende sinnvoll";"https://knus.co.za/";"";"";"Günstigste Option; Mo-Fr 7:30-16:30"
"Vrymansfontein by Vondeling, Suid-Agter-Paarl Road, Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Vrymansfontein by Vondeling";"Suid-Agter-Paarl Road";"Paarl 7646";"4.4";"322";"Mediterrane Sharing Plates / Mezze";"€€";"";"";"";"Betreuter Kinderbereich mit Trampolinen, Wasserspiel und Klettergerüst";"";"Empfohlen";"https://vrymansfontein.co.za/";"-33.752845";"18.907534";"Beste Wasserspiel-Option an heissen Tagen (auch in eurem PDF)"
"Under Oaks Pizzeria, Noord Agter-Paarl Road, Under Oaks Estate, Paarl 7646, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Under Oaks Pizzeria";"Noord Agter-Paarl Road, Under Oaks Estate";"Paarl 7646";"4.5";"";"Holzofenpizza";"€€";"";"";"";"Pizza plus Rasenflächen unter alten Eichen";"";"Empfohlen";"https://www.underoaks.co.za/";"-33.67519";"18.94219";"Verlässlichste Kinder-Option in Paarl (Tipp aus eurem PDF)"
"Rhebokskloof Estate, Noord Agter-Paarl Road, Windmeul / Paarl 7623, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Rhebokskloof Estate";"Noord Agter-Paarl Road";"Windmeul / Paarl 7623";"4.2";"421";"Weingut / 2 Restaurants / Picknick";"€€";"";"";"";"Wander- und Bike-Trails für Kinder, Picknick am Teich";"";"Ja";"https://www.rhebokskloof.co.za/";"-33.67606";"18.93506";"Google 4.2 aber TripAdvisor nur 3.9 - Zweitwahl"
"Babel at Babylonstoren, Klapmuts-Simondium Road (R45), Farm 1740, Simondium 7670, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Babel at Babylonstoren";"Klapmuts-Simondium Road (R45), Farm 1740";"Simondium 7670";"4.5";"690";"Farm-to-Table / Gartenküche";"€€€";"";"";"";"Riesiger begehbarer Nutzgarten mit Hühnern und Enten";"";"Unbedingt, Wochen vorher";"https://www.babylonstoren.com/";"-33.823684";"18.926563";"Günstigere Alternative auf dem Gelände: Greenhouse"
"Boschendal (Werf / Deli / Picknick), R310 Pniel Road, Boschendal Estate, Groot Drakenstein 7680, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Boschendal (Werf / Deli / Picknick)";"R310 Pniel Road, Boschendal Estate";"Groot Drakenstein 7680";"4.3";"1078";"Soil-to-fork / Deli / Pizza";"€€";"";"";"";"Tree-House-Spielplatz, Pumptrack, Ponyreiten (4-7 J.), Kinder-Picknickkörbe";"";"Picknick 24h vorher";"https://www.boschendal.com/";"-33.874055";"18.976161";"Deli ist die kinderfreundlichere und günstigere Variante"
"Leopard's Leap Rotisserie, R45 Main Road (Huguenot Road), Franschhoek 7690, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Leopard's Leap Rotisserie";"R45 Main Road (Huguenot Road)";"Franschhoek 7690";"4.5";"707";"Rotisserie / Pizza / Burger";"€€–€€€";"";"";"";"Eigenes Kindermenü, Rasen unter Bäumen, Klettergerüst, Pumptrack";"";"Ja, Mi-So 11-16";"https://www.leopardsleap.co.za/pages/rotisserie-restaurant";"-33.885781";"19.080333";"Bargeldlos; Werktags-Lunch R325/R385"
"Tokara Delicatessen, Helshoogte Road (R310), Tokara Wine Estate, Stellenbosch 7600, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Tokara Delicatessen";"Helshoogte Road (R310), Tokara Wine Estate";"Stellenbosch 7600";"4.6";"1743";"Bistro / Frühstück / Deli";"€€";"";"";"";"Grosses Klettergerüst, viel Auslauf, Pfauen auf dem Gelände";"";"Empfohlen";"https://www.tokara.com/delicatessen/";"-33.918064";"18.918724";"Schönster Aussichtsstopp der Region"
"Spier Wine Farm, R310 Baden Powell Drive, Stellenbosch 7603, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Spier Wine Farm";"R310 Baden Powell Drive";"Stellenbosch 7603";"4.5";"593";"Weingut / Picknick / Smokehouse";"€€";"";"";"";"Eigener 'Buzz Club' für Kinder, Picknickwiesen am Fluss, Adlerschutz-Station";"";"Für Picknick ja";"https://www.spier.co.za/";"-33.97182";"18.78476";"Ganztagestauglich (auch in eurem PDF)"
"Warwick Wine Estate, R44, Stellenbosch 7607, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Warwick Wine Estate";"R44";"Stellenbosch 7607";"4.4";"";"Weingut / Picknick / Burger";"€€";"";"";"";"Picknick auf der Wiese plus Traktorfahrt durch die Weinberge";"";"Ja";"https://www.warwickwine.com/";"-33.84044";"18.86406";"'Vineyard Safari' als Kinderprogramm; täglich 9-17"
"Middelvlei Wine Estate, Flamingo Street, Onder-Papegaaiberg, Stellenbosch 7600, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Middelvlei Wine Estate";"Flamingo Street, Onder-Papegaaiberg";"Stellenbosch 7600";"4.5";"";"Boerebraai / Grill-Buffet";"€€";"";"";"";"Braai im Freien mit Rasenfläche, Buffet statt Menüfolge";"";"Zwingend reservieren";"https://middelvlei.co.za/";"-33.92819";"18.83269";"Brunch Di-So 9-11, Lunch ab Mi"
"Klein Roosboom Boutique Winery, Tygerberg Valley Road, Durbanville, Cape Town 7551, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Klein Roosboom Boutique Winery";"Tygerberg Valley Road";"Durbanville, Cape Town 7551";"4.9";"57";"Boutique-Weingut / Food Truck / Picknick";"€€";"";"";"";"Picknick-Box auf der Wiese, kein steifes Restaurant-Setting";"";"Empfohlen";"https://www.kleinroosboom.co.za/";"-33.82031";"18.57469";"Verkostung in umgebauten Betontanks (Tipp aus eurem PDF)"
"Allee Bleue Bistro, Kreuzung R45 / R310, Groot Drakenstein / Franschhoek 7680, Südafrika";"Restaurant";"2 | Paarl & Winelands (8.-11. Okt)";"Allee Bleue Bistro";"Kreuzung R45 / R310";"Groot Drakenstein / Franschhoek 7680";"4.3";"141";"Bistro / Garten / Picknick";"€€";"";"";"";"Weitläufige Gärten und Rasenflächen rund ums Bistro";"";"Empfohlen (Dineplan)";"https://www.alleebleue.com/";"-33.86419";"18.97869";"Nur das Bistro erfüllt die Schwelle, Estate-Gesamtwert schwächer"
"Peregrine Farm Stall, N2, Elgin Valley, Grabouw / Elgin 7160, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Peregrine Farm Stall";"N2, Elgin Valley";"Grabouw / Elgin 7160";"";"";"Farmstall / Bäckerei";"€";"";"";"";"Vielfältiges Angebot und Spielplatz";"";"Nein";"https://peregrinefarmstall.co.za/";"-34.164256";"19.034674";"Stopp auf der Anfahrt Kapstadt/Paarl -> Whale Coast (Tipp aus eurem PDF)"
"Dassiesfontein Farm Stall, N2 zwischen Bot River und Caledon, Caledon, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Dassiesfontein Farm Stall";"N2 zwischen Bot River und Caledon";"Caledon";"";"";"Farmstall / Landküche / Kunsthandwerk";"€";"";"";"";"Spielbereich für Kinder, frisch gebackene Waren";"";"Nein";"https://www.dassies.co.za/main.php";"-34.225183";"19.296449";"Stopp auf der Anfahrt (Tipp aus eurem PDF)"
"Rivergate Eatery, Wortelgat Road, Farm Rivergate, Stanford 7210, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Rivergate Eatery";"Wortelgat Road, Farm Rivergate";"Stanford 7210";"4.8";"33";"Farmküche / Frühstück / Lunch";"€";"";"";"";"Weitläufiges Farmgelände, Kinder und Hunde ausdrücklich willkommen";"";"Ja, telefonisch";"https://www.stanfordinfo.co.za/restaurants/";"-34.429503";"19.422002";"Direkt bei eurer Unterkunft; NUR Fr + Sa geöffnet"
"Casa Cello @ Stanford Hills Estate, Weltevrede Farm, Stanford Hills Road (Abzweig R43), Stanford 7210, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Casa Cello @ Stanford Hills Estate";"Weltevrede Farm, Stanford Hills Road (Abzweig R43)";"Stanford 7210";"4.4";"96";"Portugiesisch-südafrikanisch / Grill";"€€";"";"";"";"Eigener Spielbereich, grosse Rasenflächen, freilaufende Schweine";"";"Wochenende empfohlen";"https://stanfordhills.co.za/";"-34.426722";"19.473255";"Peri-Peri-Hähnchen; täglich 8-17"
"Dutchies on Grotto Beach, Grotto Road / 10th Street, Voelklip, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Dutchies on Grotto Beach";"Grotto Road / 10th Street, Voelklip";"Hermanus 7200";"4.3";"1678";"Seafood / Sushi / Strandküche";"€€";"";"";"";"Direkt am Sandstrand unter Milkwood-Bäumen, Kinder in Sichtweite";"";"Ja, unbedingt";"https://www.dutchies.co.za/";"-34.412867";"19.287384";"Einer der besten Whale-Watching-Plätze vom Tisch aus"
"Fisherman's Cottage, 3A Harbour Road (Ecke Main Road), Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Fisherman's Cottage";"3A Harbour Road (Ecke Main Road)";"Hermanus 7200";"4.5";"762";"Seafood / Südafrikanisch";"€€";"";"";"";"Spielbereich neben der Aussenterrasse, cottage-gemütlich";"";"Ja, klein";"https://hermanus-tourism.co.za/places-to-eat/restaurants/";"-34.420416";"19.242505";"Zentral am Old Harbour"
"Pear Tree Bistro, Marine Drive 81, Hermanus Piazza, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Pear Tree Bistro";"Marine Drive 81, Hermanus Piazza";"Hermanus 7200";"4.6";"1377";"Bistro / modern-südafrikanisch";"€€";"";"";"";"Eigenes Kindermenü, geschützter Aussenbereich";"";"Ja, empfohlen";"https://www.peartree-hermanus.co.za/";"-34.419381";"19.243609";"Blick auf Walker Bay - im Oktober oft Wale sichtbar"
"Rossi's Italian Restaurant, High Street 10, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Rossi's Italian Restaurant";"High Street 10";"Hermanus 7200";"4.4";"1499";"Italienisch / Holzofenpizza";"€";"";"";"";"Eigenes Kindermenü, lockerer und lauter Rahmen";"";"Abends ja";"https://www.rossis.co.za/";"-34.418932";"19.242738";"Günstigste verlässliche Option im Ort (auch in eurem PDF)"
"Char'd Grill & Wine Bar, Village Square, Marine Drive, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Char'd Grill & Wine Bar";"Village Square, Marine Drive";"Hermanus 7200";"";"";"Steakhouse / Burger";"€€";"";"";"";"Burger und Milchshakes für Kinder, ordentliches Steak für Eltern";"";"Empfohlen";"https://chardhermanus.co.za/";"-34.419732";"19.243182";"Tipp aus eurem PDF"
"Lizette's Kitchen, 8th Street 20, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Lizette's Kitchen";"8th Street 20";"Hermanus 7200";"";"";"Bistro";"€€";"";"";"";"Grosser Gartenbereich mit Platz zum Bewegen";"";"Empfohlen";"https://www.lizetteskitchen.co.za/";"-34.404815";"19.272600";"Tipp aus eurem PDF"
"Walker Bay Vineyards / Birkenhead Brewery, R326, ca. 400 m ab R43, Stanford 7210, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Walker Bay Vineyards / Birkenhead Brewery";"R326, ca. 400 m ab R43";"Stanford 7210";"";"";"Weingut / Brauerei / Restaurant";"€€";"";"";"";"Kindermenü, grosse Rasenfläche mit Spielplatz, schöne Aussicht";"";"Empfohlen";"https://www.walkerbayestate.com/";"-34.438243";"19.465406";"Tipp aus eurem PDF; nah an eurer Unterkunft"
"Bosman Hermanus - Frame House, De Bos Farm, Karwyderskraal Road, Upper Hemel-en-Aarde Valley, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Bosman Hermanus - Frame House";"De Bos Farm, Karwyderskraal Road, Upper Hemel-en-Aarde Valley";"Hermanus 7200";"4.3";"36";"Weingut / Tapas / Platten";"€€";"";"";"";"Grosser Spielplatz, weite Rasenflächen, Boule";"";"Ja, Buchung nötig";"https://bosmanhermanus.com/";"-34.370517";"19.227829";"Fynbos-Wanderweg ca. 1 h (R50); Mo geschlossen"
"Mogg's Country Cookhouse, Hemel-en-Aarde Road (R320), Farmzufahrt, Hermanus 7200, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Mogg's Country Cookhouse";"Hemel-en-Aarde Road (R320), Farmzufahrt";"Hermanus 7200";"4.7";"339";"Landküche / Farm-to-Table";"€€–€€€";"";"";"";"Altes Bauernhaus mit Garten und viel Platz, sehr ruhig";"";"Ja, unbedingt";"https://moggscookhouse.co.za/";"";"";"Nur Mi-So Lunch 12-14:30; letzte km Schotter"
"Coffee on the Rocks, Cliff Street 81, De Kelders / Gansbaai 7220, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Coffee on the Rocks";"Cliff Street 81";"De Kelders / Gansbaai 7220";"4.2";"405";"Cafe / leichte Küche / Kuchen";"€€";"";"";"";"Kleines entspanntes Haus mit Deck, kurze Wartezeiten";"";"Ja, nur ca. 45 Plätze";"https://xplorio.com/gansbaai/coffee-on-the-rocks/";"-34.554505";"19.365893";"Bester Wal-Logenplatz der Küste; Mi-So 10-17"
"Great White House, Geelbek Street 5, Kleinbaai, Gansbaai 7220, Südafrika";"Restaurant";"3 | Whale Coast (11.-14. Okt)";"Great White House";"Geelbek Street 5, Kleinbaai";"Gansbaai 7220";"4.5";"1195";"Seafood / Südafrikanisch / Kaffeehaus";"€€";"";"";"";"Grosszügiges barrierefreies Gelände, ganztägig Essen";"";"Nur für Gruppen";"https://xplorio.com/gansbaai/great-white-house-restaurant/";"-34.614831";"19.352765";"Basisstation für Marine-Big-5- und Haitouren"
